,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Camocim,-2.9,-40.84,84.54,78,87,7.31,BR,1585854460
286,Lampazos de Naranjo,27.02,-100.52,85.48,46,23,6.46,MX,1585854460
287,Ellisras,-23.66,27.74,70.07,31,61,11.56,ZA,1585854460
288,Sinjār,36.32,41.88,57.27,59,5,3.4,IQ,1585854460
289,Rock Sound,24.9,-76.2,72.3,61,16,10.16,BS,1585854460
290,Qaqortoq,60.72,-46.03,28.4,42,75,6.93,GL,1585854277
291,Palembang,-2.92,104.75,75.65,96,44,1.34,ID,1585854460
292,Totness,5.88,-56.32,82.44,74,79,12.03,SR,1585854460
293,Pacifica,37.61,-122.49,63.0,37,1,10.29,US,1585854460
294,Gouré,13.98,10.27,99.0,13,63,5.17,NE,1585854460
295,Ahipara,-35.17,173.17,60.08,72,0,6.24,NZ,1585854460
296,Amapá,1.0,-52.0,73.08,93,100,6.55,BR,1585854460
297,Biltine,14.53,20.92,88.93,10,32,5.68,TD,1585854460
298,Provincia di Genova,44.5,9.07,51.8,53,0,3.36,IT,1585854460
299,Pierre,44.37,-100.35,17.6,72,90,26.4,US,1585854460
300,Makakilo City,21.35,-158.09,78.8,73,1,4.7,US,1585854246
301,Talnakh,69.49,88.4,28.4,86,90,42.5,RU,1585854461
302,Bathsheba,13.22,-59.52,79.03,71,76,14.09,BB,1585854461
303,Tāndā,26.55,82.65,78.19,18,0,9.33,IN,1585854461
304,Kedrovyy,56.17,91.82,50.0,25,3,8.95,RU,1585854461
305,Marihatag,8.79,126.3,77.52,83,42,6.93,PH,1585854461
306,Mount Gambier,-37.83,140.77,57.2,87,40,9.17,AU,1585854461
307,Ancud,-41.87,-73.82,62.6,59,6,9.17,CL,1585854461
308,Comodoro Rivadavia,-45.87,-67.5,75.2,31,29,12.75,AR,1585854461
309,Baruun-Urt,46.68,113.28,38.25,40,0,9.04,MN,1585854461
310,Kargasok,59.06,80.86,40.01,88,100,15.28,RU,1585854461
311,Shenjiamen,29.96,122.3,52.54,69,100,3.83,CN,1585854461
312,Ovalle,-30.6,-71.2,83.62,28,0,6.6,CL,1585854461
313,Iquitos,-3.75,-73.25,42.8,100,75,4.7,PE,1585854254
314,Gravdal,68.12,13.5,26.6,63,82,8.05,NO,1585854462
315,Chiredzi,-21.05,31.67,67.06,62,76,5.08,ZW,1585854462
316,Bairiki Village,1.33,172.98,82.67,79,42,10.25,KI,1585854462
317,Muroto-misakicho,33.28,134.15,53.4,60,0,5.41,JP,1585854462
318,Epiniana,39.14,21.61,39.99,78,56,1.01,GR,1585854462
319,Campos Belos,-13.04,-46.77,87.98,46,64,0.22,BR,1585854462
320,Bafia,4.75,11.23,79.54,67,85,3.51,CM,1585854462
321,Sola,-13.88,167.55,77.0,100,90,13.24,VU,1585854462
322,Salalah,17.02,54.09,80.6,83,75,6.93,OM,1585854203
323,Kāvali,14.92,79.98,80.06,79,15,12.08,IN,1585854365
324,Nizwá,22.93,57.53,81.5,23,0,5.17,OM,1585854462
325,Raja,8.46,25.68,88.74,13,98,3.27,SS,1585854462
326,Ugoofaaru,5.67,73.0,84.42,62,10,8.08,MV,1585854235
327,Catia La Mar,10.6,-67.03,87.8,62,75,5.82,VE,1585854462
328,Maturin,9.75,-63.18,94.69,39,89,5.59,VE,1585854462
329,Den Helder,52.96,4.76,48.2,93,90,17.22,NL,1585854463
330,Jiaojiang,28.68,121.44,55.0,95,100,3.65,CN,1585854463
331,Forsytheganj,52.63,29.73,36.86,76,76,8.25,BY,1585854394
332,Puerto Morazán,12.85,-87.17,93.2,49,40,6.93,NI,1585854463
333,De Aar,-30.65,24.01,71.37,28,68,5.84,ZA,1585854463
334,Khanbari,27.37,87.2,65.26,23,42,5.32,NP,1585854463
335,Brae,60.4,-1.35,37.4,64,72,19.46,GB,1585854463
336,Minot,48.23,-101.3,15.01,72,90,20.8,US,1585854463
337,Chui,-33.7,-53.46,66.85,65,77,25.19,UY,1585854463
338,Lebedyn,50.59,34.48,39.99,65,14,6.13,UA,1585854463
339,‘Ewa Beach,21.32,-158.01,78.8,73,1,4.7,US,1585854463
340,Ternate,0.8,127.4,78.67,83,69,5.28,ID,1585854254
341,Vikulovo,56.82,70.61,27.81,94,54,11.45,RU,1585854463
342,Charter Township of Clinton,42.59,-82.92,60.8,35,1,12.75,US,1585854402
343,Leningradskiy,69.38,178.42,0.03,84,0,4.12,RU,1585854216
344,Yichun,47.7,128.9,27.99,75,36,2.82,CN,1585854463
345,Mehrān,33.12,46.16,50.0,66,40,11.14,IR,1585854463
346,Deputatsky,69.3,139.9,-15.2,81,27,3.76,RU,1585854463
347,Bakchar,57.02,82.07,38.35,89,89,11.9,RU,1585854463
348,Elbeuf,49.29,1.0,46.4,75,75,8.05,FR,1585854464
349,Atambua,-9.11,124.89,74.75,78,91,2.42,ID,1585854464
350,Morena,26.5,78.0,75.69,21,0,6.17,IN,1585854464
351,College,64.86,-147.8,28.4,67,90,1.48,US,1585854464
352,Izhma,65.01,53.91,20.71,96,92,3.06,RU,1585854464
353,La Orilla,17.98,-102.23,85.75,47,0,8.41,MX,1585854464
354,Tuban,-6.9,112.06,79.48,79,88,0.72,ID,1585854464
355,Road Town,18.42,-64.62,84.2,62,20,6.93,VG,1585854312
356,Vilyuysk,63.76,121.62,2.26,92,0,5.77,RU,1585854464
357,Sembakung,3.82,117.25,75.76,92,5,1.59,ID,1585854464
358,Alvarães,-3.22,-64.8,82.4,88,40,5.82,BR,1585854464
359,Serenje,-13.23,30.24,57.92,56,0,5.5,ZM,1585854464
360,Manadhoo,5.77,73.38,84.34,62,30,7.02,MV,1585854464
361,Opuwo,-18.06,13.84,79.56,31,39,7.16,NA,1585854256
362,Karratha,-20.74,116.85,84.69,42,11,11.83,AU,1585854404
363,Souillac,-20.52,57.52,78.8,88,75,6.22,MU,1585854464
364,Sagua la Grande,22.81,-80.08,84.2,48,40,5.82,CU,1585854363
365,Morant Bay,17.88,-76.41,84.2,66,20,12.75,JM,1585854464
366,Plettenberg Bay,-34.05,23.37,66.18,78,0,6.33,ZA,1585854464
367,Zhuhai,22.28,113.57,70.0,94,40,17.22,CN,1585854464
368,Desterro,-7.29,-37.09,83.52,54,54,10.22,BR,1585854464
369,Alta Floresta,-9.88,-56.09,91.4,59,40,2.24,BR,1585854180
370,Imatra,61.17,28.75,39.2,69,90,12.75,FI,1585854465
371,Mbaïki,3.87,17.99,83.8,46,77,1.23,CF,1585854465
372,Cairns,-16.92,145.77,71.6,88,22,8.05,AU,1585854465
373,Impfondo,1.64,18.07,77.04,73,87,3.38,CG,1585854465
374,Mabaruma,8.2,-59.78,85.21,64,87,8.16,GY,1585854465
375,Beyneu,45.32,55.2,56.64,57,100,14.45,KZ,1585854465
376,Manzhouli,49.6,117.43,38.23,54,4,13.15,CN,1585854465
377,Orange Cove,36.62,-119.31,64.4,54,0,3.27,US,1585854465
378,Eureka,40.8,-124.16,54.0,57,1,13.87,US,1585854465
379,Bonthe,7.53,-12.51,85.95,70,97,9.95,SL,1585854465
380,Province of Mantua,45.17,10.78,53.6,45,0,3.36,IT,1585854465
381,Cap Malheureux,-19.98,57.61,78.8,88,75,6.93,MU,1585854465
382,Merauke,-8.47,140.33,77.09,93,77,7.52,ID,1585854222
383,Talcahuano,-36.72,-73.12,75.2,41,0,12.75,CL,1585854465
384,Dumka,24.27,87.25,83.55,26,13,3.36,IN,1585854465
385,Erenhot,43.65,111.98,41.38,37,0,7.65,CN,1585854466
386,Paamiut,61.99,-49.67,20.08,84,0,21.68,GL,1585854466
387,Korla,41.76,86.15,50.36,28,100,7.45,CN,1585854212
388,Saint George,37.1,-113.58,55.4,35,1,6.93,US,1585854250
389,Alyangula,-13.85,136.42,73.4,100,1,2.24,AU,1585854466
390,Buraidah,26.33,43.98,80.6,26,20,9.17,SA,1585854466
391,Trincomalee,8.57,81.23,77.16,81,0,6.87,LK,1585854466
392,Shrewsbury,52.71,-2.75,50.0,71,49,9.17,GB,1585854466
393,Bani Walid,31.76,13.99,83.1,13,56,9.15,LY,1585854466
394,San Borja,-14.82,-66.85,95.61,42,54,3.83,BO,1585854466
395,Aswān,24.09,32.91,78.8,16,0,4.7,EG,1585854466
396,Tautira,-17.73,-149.15,84.2,70,9,2.24,PF,1585854466
397,Arraial do Cabo,-22.97,-42.03,84.2,83,40,10.29,BR,1585854466
398,Teacapan,22.55,-105.75,83.91,35,26,4.52,MX,1585854466
399,Nome,64.5,-165.41,21.0,92,90,13.87,US,1585854466
400,Port Hedland,-20.32,118.57,75.2,83,26,1.12,AU,1585854466
401,Bandarbeyla,9.49,50.81,80.2,68,54,8.5,SO,1585854467
402,Mudon,16.26,97.72,76.62,79,2,5.19,MM,1585854467
403,Raudeberg,61.99,5.14,37.4,74,40,20.8,NO,1585854467
404,Waingapu,-9.66,120.26,78.64,77,7,4.59,ID,1585854467
405,Bac Lieu,9.29,105.72,80.76,81,4,12.44,VN,1585854467
406,Sabha,27.04,14.43,79.23,14,0,2.48,LY,1585854467
407,Lensk,60.73,114.93,7.09,90,0,3.2,RU,1585854467
408,Maryville,35.76,-83.97,63.0,44,75,5.53,US,1585854467
409,Burnie,-41.07,145.92,53.01,89,23,3.0,AU,1585854257
410,Eenhana,-17.47,16.33,75.2,83,97,4.7,NA,1585854467
411,Sassandra,4.95,-6.08,82.99,78,99,5.55,CI,1585854467
412,Mehamn,71.04,27.85,24.8,78,39,11.41,NO,1585854467
413,Mayo,38.89,-76.51,62.6,35,75,13.87,US,1585854468
414,Meadow Lake,34.8,-106.54,73.99,16,20,21.92,US,1585854468
415,Garoowe,8.41,48.48,79.56,51,22,18.05,SO,1585854468
416,Basco,20.45,121.97,76.5,84,59,19.28,PH,1585854468
417,Walvis Bay,-22.96,14.51,60.01,94,0,1.01,NA,1585854468
418,Miandrivazo,-19.52,45.47,78.31,70,28,1.7,MG,1585854468
419,Saint-Paul,-21.01,55.27,77.0,94,57,5.82,RE,1585854468
420,Mâncio Lima,-7.61,-72.9,96.04,42,41,1.28,BR,1585854468
421,Mahur,25.17,93.12,67.95,46,1,0.45,IN,1585854366
422,Safita,34.82,36.12,55.99,86,8,3.0,SY,1585854468
423,The Valley,18.22,-63.06,86.0,57,20,10.29,AI,1585854203
424,Hūn,29.13,15.95,81.9,14,1,7.7,LY,1585854468
425,Chara,56.91,118.26,9.09,79,89,6.08,RU,1585854468
426,Viedma,-40.81,-63.0,68.18,36,0,9.26,AR,1585854468
427,Westport,41.14,-73.36,57.99,37,20,24.16,US,1585854382
428,Abu Samrah,35.3,37.18,53.55,69,7,8.43,SY,1585854468
429,Bariloche,-41.15,-71.31,69.8,19,0,3.36,AR,1585854468
430,Sattahip,12.67,100.9,88.0,74,20,6.93,TH,1585854469
431,Bereda,43.27,-7.54,53.01,76,52,10.29,ES,1585854469
432,Jesup,31.61,-81.89,71.6,35,1,5.82,US,1585854469
433,Nyurba,63.28,118.33,5.02,93,9,3.8,RU,1585854469
434,Mayahi,13.96,7.67,96.46,12,80,7.45,NE,1585854469
435,Ilo,-17.64,-71.34,75.45,62,5,9.48,PE,1585854243
436,Port Lincoln,-34.73,135.87,60.12,80,37,10.76,AU,1585854469
437,Granville,-33.83,151.02,64.0,93,20,2.84,AU,1585854469
438,Freiberg,50.92,13.37,46.4,49,12,3.36,DE,1585854469
439,Pécsvárad,46.16,18.42,42.8,56,16,2.24,HU,1585854469
440,Horasan,40.05,42.17,38.01,39,55,3.36,TR,1585854469
441,Lázaro Cárdenas,17.96,-102.2,86.07,47,0,8.05,MX,1585854469
442,Coolum Beach,-26.53,153.1,66.99,98,22,1.61,AU,1585854469
443,Disna,55.57,28.2,38.25,81,96,14.79,BY,1585854469
444,São João da Barra,-21.64,-41.05,86.0,66,20,4.7,BR,1585854469
445,Hofn,64.25,-15.21,27.3,84,37,24.83,IS,1585854469
446,Muscat,23.61,58.59,77.0,83,0,4.7,OM,1585854470
447,Sobolevo,54.43,31.9,34.59,82,65,10.87,RU,1585854470
448,Moa,20.66,-74.94,83.17,55,20,6.13,CU,1585854470
449,Bonavista,48.65,-53.11,37.0,87,10,5.99,CA,1585854470
450,La Ronge,55.1,-105.28,6.8,60,75,11.41,CA,1585854470
451,Terney,45.05,136.61,32.41,77,9,9.95,RU,1585854470
452,Yatou,37.15,122.38,44.13,62,11,10.38,CN,1585854305
453,Rio Brilhante,-21.8,-54.55,93.06,38,88,7.81,BR,1585854470
454,Karacabey,40.22,28.4,48.0,87,75,17.22,TR,1585854290
455,Pringsewu,-5.36,104.97,75.31,85,60,1.86,ID,1585854470
456,Saurimo,-9.66,20.39,68.0,71,100,2.24,AO,1585854470
457,Smithers,54.78,-127.17,21.2,48,75,10.29,CA,1585854470
458,Amazar,53.86,120.88,15.8,88,86,5.5,RU,1585854470
459,Cedar City,37.68,-113.06,44.6,36,90,8.05,US,1585854470
460,Nuevitas,21.55,-77.26,81.66,66,27,11.92,CU,1585854470
461,La Rochelle,46.17,-1.15,50.0,53,0,10.29,FR,1585854470
462,Geraldton,-28.77,114.6,60.8,77,100,10.29,AU,1585854471
463,Kavaratti,10.57,72.64,84.04,72,14,7.61,IN,1585854471
464,Honiara,-9.43,159.95,79.18,86,100,15.39,SB,1585854471
465,Verkhnevilyuysk,63.45,120.32,3.9,93,29,4.54,RU,1585854471
466,Bekwai,6.45,-1.58,83.39,66,100,6.2,GH,1585854471
467,‘Āhuimanu,21.44,-157.84,78.8,65,20,7.58,US,1585854471
468,Weinan,34.5,109.51,50.0,93,96,0.81,CN,1585854471
469,Kavieng,-2.57,150.8,82.9,75,57,5.93,PG,1585854471
470,Vestmannaeyjar,63.44,-20.27,33.8,43,59,17.22,IS,1585854471
471,Beruwala,6.48,79.98,77.76,79,2,7.25,LK,1585854471
472,Ust-Maya,60.42,134.53,-1.41,89,9,4.07,RU,1585854471
473,Haicheng,40.85,122.75,43.25,58,0,4.81,CN,1585854471
474,Altamira,-3.2,-52.21,87.8,70,75,3.36,BR,1585854380
475,Svetlaya,46.54,138.33,31.89,84,32,7.23,RU,1585854471
476,Khovu-Aksy,51.13,93.6,19.53,72,0,6.89,RU,1585854471
477,Bull Savanna,17.89,-77.59,80.53,57,16,5.19,JM,1585854472
478,Dvorichna,49.85,37.69,41.07,63,10,7.43,UA,1585854472
479,Anicuns,-16.46,-49.96,82.72,58,14,5.28,BR,1585854472
480,Mushie,-3.02,16.9,80.49,72,99,4.5,CD,1585854472
481,Pevek,69.7,170.31,1.98,94,99,7.11,RU,1585854197
482,Grafton,42.21,-71.69,48.2,65,90,21.92,US,1585854472
483,Celestún,20.87,-90.4,85.26,56,0,6.04,MX,1585854472
484,Mocajuba,-2.58,-49.51,85.39,78,90,3.15,BR,1585854472
485,Sault Ste. Marie,46.52,-84.33,50.0,34,1,10.29,CA,1585854441
486,Camopi,3.17,-52.32,74.61,92,100,3.67,GF,1585854472
487,Isangel,-19.55,169.27,77.0,100,90,11.23,VU,1585854472
488,Wagar,16.15,36.2,84.15,41,81,18.9,SD,1585854472
489,Isil'kul',54.91,71.27,30.31,95,66,12.35,RU,1585854472
490,Marawi,8.0,124.29,65.17,70,43,2.75,PH,1585854472
491,Baykit,61.67,96.37,30.31,94,84,6.62,RU,1585854472
492,Touros,-5.2,-35.46,84.2,79,75,11.41,BR,1585854249
493,Salekhard,66.53,66.6,16.14,93,64,12.86,RU,1585854473
494,Byron Bay,-28.65,153.62,71.01,94,39,1.12,AU,1585854257
495,Coffs Harbour,-30.3,153.13,69.8,88,54,9.17,AU,1585854473
496,Phan Thiet,10.93,108.1,75.58,84,2,10.38,VN,1585854473
497,Iracoubo,5.48,-53.2,82.36,76,82,12.93,GF,1585854473
498,Krasnogorsk,55.82,37.32,39.2,93,75,13.42,RU,1585854473
499,Yazykovo,55.22,56.14,30.18,93,98,11.61,RU,1585854473
500,Tomatlán,19.93,-105.25,89.31,27,0,9.51,MX,1585854473
501,Forest Acres,34.02,-80.99,66.2,34,1,6.93,US,1585854473
502,Tarare,45.9,4.43,53.6,62,38,8.05,FR,1585854218
503,Najrān,17.49,44.13,82.4,39,75,4.7,SA,1585854235
504,Zaoyang,32.13,112.75,53.69,78,98,3.69,CN,1585854473
505,Filingué,14.35,3.32,94.28,10,84,4.41,NE,1585854473
506,Pemba,-12.97,40.52,80.64,75,0,14.65,MZ,1585854473
507,Crestview,30.76,-86.57,77.0,28,1,9.17,US,1585854473
508,Urazovka,55.4,45.62,34.99,83,98,10.76,RU,1585854474
509,Anadyr,64.75,177.48,-2.2,84,67,8.95,RU,1585854474
510,Río Gallegos,-51.62,-69.22,62.6,36,75,16.11,AR,1585854235
511,Ridgecrest,35.62,-117.67,64.4,22,1,3.36,US,1585854307
512,Lábrea,-7.26,-64.8,91.87,53,84,1.59,BR,1585854474
513,Tecpan,14.76,-90.99,84.2,37,40,9.17,GT,1585854474
514,Oussouye,12.48,-16.55,98.6,69,5,4.7,SN,1585854474
515,Novyy Urgal,51.07,132.56,15.21,91,17,4.43,RU,1585854474
516,Fallon,39.47,-118.78,44.6,24,20,6.93,US,1585854243
517,Kaseda-shirakame,31.42,130.32,58.19,68,60,1.03,JP,1585854474
518,Zhigansk,66.77,123.37,2.23,93,47,1.41,RU,1585854474
519,Puri,19.8,85.85,82.4,74,2,5.82,IN,1585854474
520,Mwinilunga,-11.74,24.43,65.73,64,100,5.84,ZM,1585854474
521,Kamenka,51.32,42.77,36.0,50,52,4.0,RU,1585854474
522,Littleton,39.61,-105.02,27.0,85,90,11.41,US,1585854274
523,Atascadero,35.49,-120.67,64.4,58,1,6.35,US,1585854475
524,Itarema,-2.92,-39.92,83.41,81,100,10.58,BR,1585854476
525,Chabahar,25.29,60.64,75.54,66,0,4.68,IR,1585854476
526,Praxédis Guerrero,31.37,-106.02,75.99,13,5,13.87,MX,1585854476
527,Miraflores,19.22,-98.81,86.0,29,5,4.7,MX,1585854476
528,Nikolayevsk-on-Amur,53.14,140.73,28.13,95,100,7.38,RU,1585854476
529,Port Augusta,-32.5,137.77,69.01,82,96,6.93,AU,1585854476
530,Wanganui,-39.93,175.05,52.0,80,28,5.99,NZ,1585854476
531,Kichha,28.92,79.5,71.37,23,0,7.23,IN,1585854476
532,Ponta Delgada,37.73,-25.67,62.6,93,90,25.28,PT,1585854272
533,Katsuura,35.13,140.3,51.8,43,20,14.99,JP,1585854476
534,Challans,46.84,-1.87,50.0,53,75,8.05,FR,1585854476
535,General Pico,-35.66,-63.76,73.96,25,0,10.78,AR,1585854476
536,Palmer,42.16,-72.33,53.6,43,75,20.8,US,1585854476
537,San Cristobal,7.77,-72.22,86.0,58,40,11.41,VE,1585854198
538,Capaci,38.17,13.24,54.0,85,97,2.66,IT,1585854476
539,Wajir,1.75,40.06,89.6,55,5,5.95,KE,1585854477
540,Edelira,-26.75,-55.27,72.0,91,100,4.56,PY,1585854477
541,San Quintín,30.48,-115.95,64.13,63,45,13.69,MX,1585854477
542,Bad Frankenhausen,51.35,11.1,46.99,56,38,12.75,DE,1585854477
543,Halifax,44.65,-63.57,48.0,93,90,32.21,CA,1585854333
544,Tevriz,57.51,72.4,29.55,94,92,9.71,RU,1585854477
545,Naliya,23.27,68.83,75.43,81,0,9.86,IN,1585854477
546,Lampang,18.33,99.5,77.74,30,77,0.92,TH,1585854477
547,Ust-Tsilma,65.44,52.15,21.65,97,88,3.33,RU,1585854477
548,Barra,-11.09,-43.14,83.48,56,98,2.53,BR,1585854248
549,Camabatela,-8.19,15.38,66.43,70,100,3.74,AO,1585854477
550,Forio,40.73,13.86,53.01,57,57,5.82,IT,1585854477
551,Marrakesh,31.63,-8.01,68.0,34,20,5.82,MA,1585854217
552,Hervey Bay,-25.3,152.85,68.0,94,5,5.82,AU,1585854477
553,Lagoa,39.05,-27.98,61.18,93,100,14.05,PT,1585854477
554,Atar,20.52,-13.05,97.12,9,94,17.81,MR,1585854477
555,Coahuayana Viejo,18.73,-103.68,86.0,37,5,11.41,MX,1585854477
556,Sambava,-14.27,50.17,77.52,88,39,5.59,MG,1585854478
557,Kundiawa,-6.02,144.97,59.5,50,90,1.72,PG,1585854478
558,Vila Franca do Campo,37.72,-25.43,62.6,93,90,25.28,PT,1585854478
559,Cabedelo,-6.98,-34.83,84.2,83,40,12.75,BR,1585854467
560,Kidodi,-7.6,37.0,73.33,79,100,1.66,TZ,1585854478
561,Asău,46.43,26.4,43.0,38,38,12.75,RO,1585854478
562,Moerai,-22.43,-151.33,80.13,79,100,10.02,PF,1585854478
563,Hambantota,6.12,81.12,75.2,100,3,2.24,LK,1585854478
564,Washington,47.5,-120.5,45.0,32,1,4.7,US,1585854250
565,Bowen,-20.02,148.23,73.0,94,26,5.82,AU,1585854478
566,Ploemeur,47.73,-3.43,51.01,61,90,5.82,FR,1585854478
567,Antigonish,45.62,-62.0,44.01,100,90,19.46,CA,1585854478
568,Puerto del Rosario,28.5,-13.86,66.2,63,20,11.41,ES,1585854478
569,Takoradze,4.88,-1.76,82.56,79,100,7.25,GH,1585854353
570,Kodoli,16.88,74.2,79.72,36,28,6.2,IN,1585854478
